task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
111	fa/22e013	21830	NFCORE_FUNCSCAN:FUNCSCAN:ARG:ARGNORM_DEEPARG (CONTROL_REP3)	COMPLETED	0	2025-12-19 12:03:15.021	3.8s	3s	86.5%	136.7 MB	1.4 GB	28.2 MB	7.7 KB
112	92/ed7cd7	21876	NFCORE_FUNCSCAN:FUNCSCAN:ARG:ARGNORM_DEEPARG (CONTROL_REP3)	COMPLETED	0	2025-12-19 12:03:15.406	3.7s	3s	86.4%	126.3 MB	1.3 GB	28.2 MB	18.5 KB
72	85/c73122	19576	NFCORE_FUNCSCAN:FUNCSCAN:AMP:AMPLIFY_PREDICT (CONTROL_REP3)	COMPLETED	0	2025-12-19 11:58:13.379	5m 35s	5m 33s	242.9%	944.6 MB	3.3 GB	191.6 MB	3.3 MB
37	69/fbd7db	22167	NFCORE_FUNCSCAN:FUNCSCAN:AMP:MACREL_CONTIGS (CONTROL_REP2)	COMPLETED	0	2025-12-19 12:03:48.738	1m 15s	11s	95.6%	266.7 MB	729.1 MB	53.3 MB	3.3 MB
35	96/37d925	22537	NFCORE_FUNCSCAN:FUNCSCAN:ARG:RGI_MAIN (CONTROL_REP2)	COMPLETED	0	2025-12-19 12:05:03.679	2m 4s	2m 3s	210.4%	1.3 GB	10.7 GB	769.5 MB	210.8 MB
36	58/87e9ac	23076	NFCORE_FUNCSCAN:FUNCSCAN:ARG:ABRICATE_RUN (CONTROL_REP2)	COMPLETED	0	2025-12-19 12:07:08.125	1m 16s	6s	112.5%	113.2 MB	607.4 MB	12.5 MB	5.4 MB
44	50/c2f118	23447	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP2|class_b_3)	COMPLETED	0	2025-12-19 12:08:23.811	1m 51s	1s	63.6%	10.2 MB	14.8 MB	13.8 MB	30.4 MB
42	ce/0b0457	23930	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP2|class_a)	COMPLETED	0	2025-12-19 12:10:14.517	-	0ms	54.4%	9.9 MB	14.5 MB	13.8 MB	30.3 MB
45	73/4613bd	23999	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP2|class_c)	COMPLETED	0	2025-12-19 12:10:13.649	1.1s	0ms	50.0%	9.3 MB	14.1 MB	13.8 MB	30.9 MB
43	ae/0751a3	24054	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP2|class_b_1_2)	COMPLETED	0	2025-12-19 12:10:14.727	1s	0ms	96.2%	10.5 MB	15.3 MB	13.8 MB	7.3 MB
